geoname_id	name	ascii_name	population	latitude	longitude	feature_code
1908005	Wujiahe	Wujiahe	14679	34.6716700	105.2438900	PPLA4
1279802	Wendong	Wendong	14517	23.1666700	99.9000000	PPL
13308725	Qianhai Bay Area	Qianhai Bay Area	14239	22.5361200	113.8874400	PPL
7517670	Yupan	Yupan	14227	34.9165100	104.9155800	PPL
1279668	Xuelin	Xuelin	14158	23.0226800	99.5580000	PPL
7372585	Pipa	Pipa	14053	33.1663500	105.3134400	PPLA4
7517082	Yan’anxiang	Yan'anxiang	13871	34.4600100	104.9167300	PPLA4
12110888	Xiannüshan	Xiannueshan	13808	29.4218700	107.7612200	PPLA4
12358506	Jiujing	Jiujing	13716	22.4468100	99.9752100	PPLA4
1786368	Yongcong	Yongcong	13670	26.0422200	109.1313900	PPL
7373727	Mayuan	Mayuan	13336	34.0539700	105.5227800	PPLA4
1799206	Niyang	Niyang	13284	33.8194400	105.8213900	PPLA4
12358500	Ankang	Ankang	13236	23.1825400	99.7436800	PPLA4
8561612	Beizheng	Beizheng	13189	38.0604700	114.0784900	PPLA4
1801329	Malu	Malu	13117	21.6500000	107.9500000	PPL
7407743	Shuiyang	Shuiyang	13029	33.7484400	106.1027800	PPLA4
1279524	Zangguy	Zangguy	13027	37.2833300	78.7666700	PPL
7348484	Liangshan	Liangshan	12894	35.0731900	105.9740000	PPLA4
7353644	Sancang	Sancang	12833	33.0137800	105.1150700	PPLA4
13308603	Shuangjinhui	Shuangjinhui	12822	22.6855200	113.7933100	PPL
7372986	Douping	Douping	12772	33.5165000	105.4646200	PPLA4
1812719	Diping	Diping	12692	25.7616700	109.2427800	PPL
7372793	Guohe	Guohe	12585	33.3511300	105.1487100	PPLA4
12358633	Lichuan	Lichuan	12554	33.7726700	105.9464200	PPLA4
1913179	Gushu	Gushu	12495	22.5939800	113.8391100	PPL
7372875	Changba	Changba	12488	33.4284300	105.4345800	PPLA4
12358479	Quzhang	Quzhang	12441	21.8500300	109.5669800	PPLA4
13308665	Fangda Town	Fangda Town	12300	22.5557500	113.9727600	PPLA4
7372888	Foya	Foya	12155	33.4378000	105.2733300	PPLA4
1801226	Maogong	Maogong	12109	26.1461100	108.8608300	PPL
1792188	Wanchao	Wanchao	12067	26.6000000	107.8500000	PPL
13308598	Wanfeng	Wanfeng	12024	22.7229500	113.8263800	PPL
1808135	Honghe	Honghe	11942	34.4097200	105.3900000	PPL
1796824	Sanhe	Sanhe	11916	33.2992700	105.1669200	PPLA4
1529245	Qongkur	Qongkur	11850	48.1222200	87.1125000	PPL
7373302	Zhifang	Zhifang	11799	33.7259800	105.4835800	PPLA4
8562010	Beitanzhuang	Beitanzhuang	11755	38.5132000	114.2877500	PPLA4
13308743	Shatou Residential	Shatou Residential	11738	22.5283400	114.0430400	PPL
1914171	Yangba	Yangba	11583	33.0102700	105.7664300	PPLA4
1905963	Luoli	Luoli	11521	26.3458300	108.9388900	PPL
12450872	Yingye'er	Yingye'er	11485	37.3731200	79.7774500	PPLA4
1804081	Liangdang Chengguanzhen	Liangdang Chengguanzhen	11477	33.9097200	106.3022200	PPLA3
1529630	Aykol	Aykol	11260	40.9575900	80.1357400	PPL
1906110	Deshun	Deshun	11166	26.1822200	109.3202800	PPL
1907978	Leiwang	Leiwang	11143	34.0508400	105.1441800	PPLA4
7351475	Ha’ergai Dadui	Ha'ergai Dadui	11128	37.2515000	100.4213300	PPL
1907968	Gucheng	Gucheng	11096	34.4811100	105.1652800	PPL
1794923	Shixia	Shixia	11072	33.7834000	105.3876900	PPLA4
1817891	Aoshi	Aoshi	11032	26.4016700	109.0711100	PPL
13308624	Futian	Futian	11020	22.5219200	114.0561700	PPLX
1800965	Mawu	Mawu	11015	34.4263900	104.9147200	PPL
1785683	Yuntai	Yuntai	10962	33.4463400	105.6656100	PPLA4
13308713	Sanwei	Sanwei	10912	22.6130000	113.8453400	PPLX
1914152	Fengxiang	Fengxiang	10665	32.9019400	105.3113000	PPLA4
7373083	Huangchen	Huangchen	10635	33.5831200	105.6015900	PPLA4
1800680	Mengyan	Mengyan	10572	26.3166700	108.8833300	PPL
13308682	Botuofeinuochunshuian	Botuofeinuochunshuian	10529	22.5460600	113.9738500	PPL
1787719	Yandong	Yandong	10506	26.0986100	108.9663900	PPL
1907984	Mahe	Mahe	10497	34.3361100	105.3972200	PPL
1808163	Hongchuan	Hongchuan	10405	33.7505600	105.8908300	PPLA4
13308678	Hongfa Centre	Hongfa Centre	10326	22.5549600	113.8886500	PPL
12358683	Qiushan	Qiushan	10310	34.3552100	104.8975900	PPLA4
1787804	Yacheng	Yacheng	10267	34.3227800	105.1352800	PPL
7373312	Shaba	Shaba	10107	33.7311500	105.5641200	PPLA4
13308663	Chaguangcun	Chaguangcun	10092	22.5664300	113.9516100	PPLX
13308644	Yuye shequ	Yuye shequ	10086	22.5660600	113.8688800	PPLX
1786811	Yeliguan	Yeliguan	10066	34.9644000	103.6604900	PPLA4
1787443	Yangliujie	Yangliujie	10057	26.3666700	107.5000000	PPL
7343298	Changchuan	Changchuan	10037	34.7154300	103.4297000	PPLA4
1786288	Yongning	Yongning	9999	33.8395600	106.1886500	PPLA4
7407706	Jialing	Jialing	9957	33.6992700	106.1962900	PPLA4
1803448	Lingwu Nongchang	Lingwu Nongchang	9949	38.1333300	106.3000000	PPLF
13308752	Yanhanshan	Yanhanshan	9808	22.5368500	113.9824900	PPL
1814202	Dajia	Dajia	9791	26.3666700	108.8500000	PPL
13308754	Yuehai Residential	Yuehai Residential	9732	22.5138800	113.9291700	PPL
12358684	Awu	Awu	9677	34.2865400	104.1489300	PPLA4
1798745	Pingluo	Pingluo	9658	33.5488000	105.4103300	PPLA4
